
[16.3.2026, 22:12:31] נמצא תור: 13.04.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר שפירא סידני | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:12:32] נמצא תור: 22.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר גורמן גאורגי | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:12:32] נמצא תור: 30.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר גומעה פיראס | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:12:32] נמצא תור: 30.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: יועץ בי"ח | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:12:32] נמצא תור: 31.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר מסרי אברהם אל | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:12:32] נמצא תור: 31.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר ארוולדזה סמסון | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:12:40] נמצא תור: 05.04.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר קרב אל תומר דוד | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:12:40] נמצא תור: 06.04.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר זפרן אבישי | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:12:40] נמצא תור: 17.04.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר קוטוב קונסטנטי | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:12:40] נמצא תור: 20.04.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר ברגר עמרי גיא | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:12:41] נמצא תור: 17.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר יאסין עלי | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:12:41] נמצא תור: 17.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר בוריסוב אולג | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:12:41] נמצא תור: 17.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר נירקיס רומן | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:12:49] נמצא תור: 17.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר גומעה פיראס | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:12:49] נמצא תור: 17.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר אגבאריה אלטייב | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:12:49] נמצא תור: 17.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר מדלג לואי | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:12:49] נמצא תור: 18.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר אבו ערישה מוהנד | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:12:49] נמצא תור: 18.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר אלמליח שירן | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:12:49] נמצא תור: 19.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר זמירו עיסאם | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:12:49] נמצא תור: 23.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר רעד אסעד | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:12:58] נמצא תור: 23.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר תלס מוחמד | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:12:58] נמצא תור: 23.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר מדלג' סאאב | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:12:58] נמצא תור: 24.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר ויינשטיין אריה משה | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:12:58] נמצא תור: 24.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר שפי מיכאל | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:12:58] נמצא תור: 25.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר בן שבת דביר שלו | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:13:06] נמצא תור: 25.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר בקאל טומי | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:13:06] נמצא תור: 25.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר המיד שרים | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:13:06] נמצא תור: 25.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: רופ.מאיר אורתופדיה | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:13:06] נמצא תור: 25.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר צרפתי ירון | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:13:07] נמצא תור: 26.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר נאסר מוחמד | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:13:15] נמצא תור: 26.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר אבו חוסיין מוחמד | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:13:15] נמצא תור: 26.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר סגל פנחס | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:13:15] נמצא תור: 26.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר דור ינאי | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:13:15] נמצא תור: 29.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר דופש סאמח | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:13:15] נמצא תור: 29.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר קעדאן נאסר | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

[16.3.2026, 22:13:23] נמצא תור: 29.03.2026 | תחום: אורתופדיה | מקצוע: 58 | רופא: ד"ר מנסור עמר | עיר: הרצליה | הופעל ב: 16.3.2026, 22:11:39

